Source - Field API Name,Source - Field Label,Source - Data Type,Target - Field Label,Target - Field API Name,Target - Data Type,Transform / Notes
Order Number,Order_Number__c,Text(10),Order Number,ConstructionPts__OrderNumber__c,Text(8),
Discount Approved,Discount_Approved__c,Checkbox,Discount Approved,SYS_Discount_Approved__c,Checkbox,
Discount Requested,Discount__c,Percent(2,2),Discount Requested,(Not found),—,
Product,Product__c,Lookup(Product2),Product,(Not found as "Product"),—,
Quote Number(s),Quote_Numbers__c,Text(255),Quote Number(s),Quote_Number_s__c,Text Area(255),
Series,Series__c,Formula (Text),Series,(Not found),—,
Confirm Won/Lost,Confirm_WonLost__c,Checkbox,Confirm Won/Lost,(Not found),—,
Brands (Text),Brands_Text__c,Text(255),Brands (Text),(Not found),—,
Proactive Sales,Proactive_Sales__c,Checkbox,Proactive Sales,(Not found),—,
Required by Date,Required_by_Date__c,Date,Required by Date,(Not found),—,
Team Opportunity,Team_Opportunity__c,Checkbox,Team Opportunity,(Not found),—,
Did You Visit a Design Studio?,Did_You_Visit_a_Design_Studio__c,Picklist,Did You Visit a Design Studio?,(Not found),—,
Pricing Review Notes,Pricing_Review_Notes__c,Rich Text Area(32768),Pricing Review Notes,(Not found),—,
Pricing Next Steps,Pricing_Next_Steps__c,Text(255),Pricing Next Steps,(Not found),—,
Discount Approved (%),Discount_Approved_Percent__c,Percent(2,2),Discount Approved (duplicate),SYS_Discount_Approved__c,Checkbox,
Current Margin,Current_Margin__c,Percent(2, 2),Current Margin,(Not found),—,
Margin After Discount,Margin_After_Discount__c,Percent(2, 2),Margin After Discount,(Not found),—,
Opportunity Score,IqScore,Number(9, 0),Opportunity Score,(Not found),—,
